retailer,store_id,week,product,description,regular_price,competition_1_regular_price,competition_2_regular_price,competition_3_regular_price,competition_4_regular_price,competition_5_regular_price,competition_6_regular_price,competition_7_regular_price,competition_8_regular_price,competition_9_regular_price,competition_10_regular_price,promo_price,competition_1_promo_price,competition_2_promo_price,competition_3_promo_price,competition_4_promo_price,competition_5_promo_price,competition_6_promo_price,competition_7_promo_price,competition_8_promo_price,competition_9_promo_price,competition_10_promo_price,value,volume,quantity
retail1,1,1,MintyFresh Mint 18g,MintyFresh refresh mint 18grams,10.3086447,10.62481496,10.01345094,10.37884683,9.910385451,10.29883175,10.41832395,10.49302848,10.69106696,10.46372916,10.07564008,6.439745037,5.456297186,6.95503071,9.062034777,8.500521403,7.139537261,7.606831029,8.339535734,7.184384051,5.759619711,7.376552967,85.36830953,3.953881888,9.707949194
retail1,1,1,ChocoDelight Dark 200g,200g ChocoDelight smooth,7.947956375,7.748725741,7.589197902,8.085261859,7.602362658,8.296180575,7.976387797,7.749886578,7.898872368,8.106559676,8.029125447,4.756319303,5.690281703,6.580652984,5.642677626,5.766135292,4.267236238,5.912717917,5.156558103,6.976286665,5.884786305,5.335848535,82.92473137,2.991417636,14.9225862
retail1,1,1,ChocoDelight White 350g,350g ChocoDelight delicious,13.43936777,13.75150838,13.18362091,13.87544043,12.98270722,13.7220757,13.45335163,13.71288218,13.89454503,13.02018057,13.71209073,8.415817205,9.130749164,10.46474852,9.561466804,8.195117704,8.214547528,8.995386866,10.26660277,10.94080064,8.72703088,7.915146825,52.52776151,6.513599758,12.88960698
retail1,1,1,NuttyCream Hazelnuts 80g,delightful Hazelnuts 80g NuttyCream,5.112777178,5.279713304,5.22211755,5.117788801,4.877549357,5.324717232,5.154538568,5.182502575,5.211330655,5.111107341,5.058136689,,,,,,,,,,,,48.37378176,5.489587094,14.37483393
retail1,1,1,DarkDream Dark 60g,A decadent DarkDream dark chocolate ice cream with a weight of 60 grams.,14.0854249,14.15372068,13.86000156,14.33969753,14.36551747,14.52049322,14.37773,13.40127081,13.91843565,14.39951662,14.76683787,,,,,,,,,,,,47.71825157,9.152049856,9.193817559
retail1,1,2,MintyFresh Mint 18g,MintyFresh refresh mint 18grams,16.4155248,16.8820576,16.50752812,16.62608411,17.023184,17.22560931,15.81280459,16.79123157,16.78647946,16.86951915,15.82579814,,,,,,,,,,,,69.84350078,7.465654215,11.18485444
retail1,1,2,ChocoDelight Dark 200g,A rich and smooth ChocoDelight dark chocolate bar weighing (150+50) 200 grams.,13.76804215,13.45156815,13.10645891,13.88542101,13.80552921,14.18876044,14.27977582,13.67860188,13.9771874,14.45434006,13.90537465,,,,,,,,,,,,54.00326007,1.880907467,8.095620355
retail1,1,2,ChocoDelight White 350g,ChocoDelight White 350g creamy,9.337016511,9.392659275,9.561411435,9.130547888,9.410718645,9.309018108,9.513713182,9.536709692,9.044412043,8.965153579,8.942044477,,,,,,,,,,,,73.89552938,6.809492595,8.550715174
retail1,1,2,NuttyCream Hazelnuts 80g,Hazelnuts NuttyCream 80g  delightful,17.86715369,17.67464606,17.59577085,18.08646628,17.96201004,17.63969314,17.70092941,18.01224602,18.05520717,16.98098866,18.7377979,12.21386077,10.62483889,10.99739178,12.23056472,11.59216962,14.26958593,15.09577418,15.53305688,13.99295756,8.586303387,11.8724299,58.7269762,7.318122433,8.072842319
retail1,1,2,DarkDream Dark 60g,A decadent DarkDream dark chocolate ice cream with a weight of 60 grams.,18.00665568,18.00599125,18.43893206,17.70722017,17.28438824,17.16950644,18.86238389,17.81241663,17.81159136,17.28585924,18.14481007,,,,,,,,,,,,81.12634626,6.80973953,9.36045402
retail1,1,3,MintyFresh Mint 18g,18g MintyFresh ref,6.460809412,6.259323279,6.519286396,6.764584773,6.272917703,6.417742384,6.274719224,6.339747536,6.153576351,6.518646479,6.193808997,,,,,,,,,,,,53.10737449,8.536249421,15.25188269
retail1,1,3,ChocoDelight Dark 200g,A rich and smooth ChocoDelight dark chocolate bar weighing (150+50) 200 grams.,13.6208067,13.030302,13.10134694,13.50056688,13.31918605,13.7218782,14.09108502,13.25848317,14.21926911,13.41304116,13.65671574,,,,,,,,,,,,79.80646482,1.783720253,10.61304678
retail1,1,3,ChocoDelight White 350g,creamy ChocoDelight 350g,12.50125208,12.8525466,13.06446574,12.16958219,12.52318459,12.79151654,12.8546869,12.77017817,12.81912463,12.39300379,12.19115215,,,,,,,,,,,,76.08956309,5.185438005,10.5206425
retail1,1,3,NuttyCream Hazelnuts 80g,80g NuttyCream flavor Hazelnuts,11.60660915,11.51145585,11.23228787,11.3573122,11.14185415,11.69382814,12.08633764,11.28526479,11.5529268,11.91014356,11.92378394,,,,,,,,,,,,51.48255047,4.570194323,13.41457061
