retailer,store_id,week,product,description,regular_price,value,volume,quantity,competition_1_discount_depth,competition_2_discount_depth,competition_3_discount_depth,competition_4_discount_depth,competition_5_discount_depth,competition_6_discount_depth,competition_7_discount_depth,competition_8_discount_depth,competition_9_discount_depth,competition_10_discount_depth,avg_competition_discount_depth,num_competitors_active_promos,price_comp_1_promo_interaction,price_comp_2_promo_interaction,price_comp_3_promo_interaction,price_comp_4_promo_interaction,price_comp_5_promo_interaction,price_comp_6_promo_interaction,price_comp_7_promo_interaction,price_comp_8_promo_interaction,price_comp_9_promo_interaction,price_comp_10_promo_interaction,quantity_lag_1,value_lag_1,sin_week,cos_week
retail1,1,1,MintyFresh Mint 18g,MintyFresh refresh mint 18grams,10.3086447,4.4586208206796725,3.953881888,2.3709863809699727,5.168517774000001,3.0584202300000003,1.3168120530000014,1.4098640479999993,3.1592944889999997,2.8114929209999993,2.1534927459999995,3.5066829090000002,4.704109449,2.699087112999999,2.9987773732000003,0.0,1.8893114411821925,1.4821853604726931,1.1375640188629572,1.2127073400887947,1.4438813501697614,1.355182553773011,1.2361173366008866,1.4348682680131961,1.7898134281872904,1.3974880606317213,0.0,0.0,0.12053668025532305,0.992708874098054
retail1,1,1,ChocoDelight Dark 200g,200g ChocoDelight smooth,7.947956375,4.4299203420268976,2.991417636,2.767738616971449,2.058444038,1.0085449180000001,2.442584232999999,1.8362273659999993,4.0289443369999995,2.06366988,2.593328475,0.9225857030000002,2.2217733709999994,2.693276912,2.1869379232999995,0.0,1.396759737010862,1.2077762486981793,1.4085434082531796,1.3783853434772997,1.8625536369941187,1.3442136909911375,1.5413297428717057,1.1392817922570273,1.3505938810806146,1.4895393530881027,2.3709863809699727,4.4586208206796725,0.12053668025532305,0.992708874098054
retail1,1,1,ChocoDelight White 350g,350g ChocoDelight delicious,13.43936777,3.9802004260453923,6.513599758,2.6311408611895506,4.6207592160000015,2.7188723899999996,4.313973625999999,4.787589516000001,5.507528171999999,4.457964764,3.446279409999999,2.953744389999999,4.293149690000002,5.796943905,4.2896805079,0.0,1.4718800756226755,1.2842513839979024,1.4055759482820875,1.639923702796887,1.636044800299803,1.494028880602899,1.3090374753049883,1.2283715070051764,1.539970232120916,1.6979303185572936,2.767738616971449,4.4299203420268976,0.12053668025532305,0.992708874098054
retail1,1,1,NuttyCream Hazelnuts 80g,delightful Hazelnuts 80g NuttyCream,5.112777178,3.8994195497017072,5.489587094,2.732732012333434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6311408611895506,3.9802004260453923,0.12053668025532305,0.992708874098054
retail1,1,1,DarkDream Dark 60g,A decadent DarkDream dark chocolate ice cream with a weight of 60 grams.,14.0854249,3.8860537354424056,9.152049856,2.3217814148575613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.732732012333434,3.8994195497017072,0.12053668025532305,0.992708874098054
retail1,1,2,MintyFresh Mint 18g,MintyFresh refresh mint 18grams,16.4155248,4.260473229818951,7.465654215,2.5001937411707744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3217814148575613,3.8860537354424056,0.23931566428755774,0.970941817426052
retail1,1,2,ChocoDelight Dark 200g,A rich and smooth ChocoDelight dark chocolate bar weighing (150+50) 200 grams.,13.76804215,4.007392457475837,1.880907467,2.207793018000241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5001937411707744,4.260473229818951,0.23931566428755774,0.970941817426052
retail1,1,2,ChocoDelight White 350g,ChocoDelight White 350g creamy,9.337016511,4.316094200891316,6.809492595,2.256616039018566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.207793018000241,4.007392457475837,0.23931566428755774,0.970941817426052
retail1,1,2,NuttyCream Hazelnuts 80g,Hazelnuts NuttyCream 80g  delightful,17.86715369,4.0897837809859405,7.318122433,2.2052855908895532,7.049807170000001,6.598379070000002,5.8559015599999995,6.369840419999999,3.3701072099999987,2.605155230000001,2.479189139999999,4.0622496099999985,8.394685273000002,6.865368,5.3650682683,0.0,1.6816399641425528,1.6246719265283827,1.4608608922842934,1.541312306125486,1.2521143765241687,1.1835864445873685,1.1502664174883261,1.2768675680883004,2.0808900972508813,1.5049281268024162,2.256616039018566,4.316094200891316,0.23931566428755774,0.970941817426052
retail1,1,2,DarkDream Dark 60g,A decadent DarkDream dark chocolate ice cream with a weight of 60 grams.,18.00665568,4.408258869486243,6.80973953,2.3379960601954037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2052855908895532,4.0897837809859405,0.23931566428755774,0.970941817426052
